free,log,restart,rmse,converged,in_bounds,C_c,h_amb,K_Q,h_fc,sigma,tau,theta,dead,coast
h_amb,real_mak,0,70.7137845988619,True,True,320.0,1.310756195431436,3.5,1.3,1.4e-09,244.13388326169374,50.0,26.0,0.0
h_amb,real_mak,1,72.39762107460379,True,True,172.85771421648167,0.7942588868363428,2.3319548072236844,1.4088070663671808,1.458592304110177e-09,217.63396932831427,67.29838758055485,31.0,0.0
h_amb,real_mak,2,78.48876434363413,True,True,262.9703815766029,1.4409616064800252,3.593539495167551,1.7544346404541145,1.4226681744356745e-09,182.4964526424724,50.815184320566274,24.0,0.0
h_amb,real_mak,3,52.830118037942654,True,True,405.398928626551,0.9520116579101368,2.8557041658244264,1.8331639094233825,9.018054361224329e-10,425.8339961051379,52.34091074425572,27.0,22.0
h_amb,real_mak,4,87.27818944251803,True,True,302.8450724578749,1.9571342999216164,4.906396018918373,1.5300628827485656,2.5275983113401934e-09,154.73903475607366,40.99215632025888,19.0,0.0
h_amb+theta,real_mak,0,17.06835200556956,True,True,320.0,0.9416382974521968,3.5,1.3,1.4e-09,339.8332468696613,365.4259789810289,109.0,125.0
h_amb+theta,real_mak,1,8.802952464059073,True,True,397.77459757061285,0.16436566198639938,1.8224195008009654,1.953302521013004,1.213500767723271e-09,2420.058987767939,224.47916077942602,89.0,146.0
h_amb+theta,real_mak,2,18.236387394682563,True,True,219.12546307181503,0.6666446985902662,2.8139230234513435,1.4385905510210713,1.496754686578331e-09,328.6990259356943,394.7012697384062,113.0,122.0
h_amb+theta,real_mak,3,18.8569960025449,True,True,274.4642405128669,1.3021675424264392,3.95278111472717,0.6046566455436183,9.041355609670325e-10,210.77490535621433,378.9230060718709,115.0,125.0
h_amb+theta,real_mak,4,20.26395653615198,True,True,342.50707796344295,3.0713628100912533,9.102584195334646,0.9518558865587463,1.9282784676852987e-09,111.5163199990908,468.728505763987,111.0,162.0
K_Q+h_amb,real_mak,0,27.670011678658945,True,False,320.0,1.0000001953646572e-09,1.156568275351123,1.3,1.4e-09,319999937483.3219,50.0,34.0,35.0
K_Q+h_amb,real_mak,1,14.690307878229781,True,False,269.7178233442371,1.0000000000001227e-09,0.92867832936012,2.4812937145145426,8.559897797574044e-10,269717823344.204,101.39627202384776,53.0,78.0
K_Q+h_amb,real_mak,2,33.416184744106886,True,False,322.54873222419974,1.000000001630039e-09,1.1850933189720112,1.2353563624902046,1.584326692006028e-09,322548731698.4327,31.177362513415037,24.0,21.0
K_Q+h_amb,real_mak,3,29.931624433443194,True,False,292.677555815854,1.0000109958685162e-09,1.2441828479272385,1.3770347515577053,1.7782730840969832e-09,292674337607.31964,79.41531556063435,45.0,44.0
K_Q+h_amb,real_mak,4,19.54493888352571,True,False,634.034290685833,1.000000011729736e-09,1.8615397162050606,2.3772337547562907,1.4388181789260224e-09,634034283248.7782,37.57727043798187,27.0,34.0
K_Q+h_amb+theta,real_mak,0,9.15893512810866,True,False,320.0,1.0000000134546664e-09,1.4080727563857538,1.3,1.4e-09,319999995694.50684,219.38538973160578,92.0,143.0
K_Q+h_amb+theta,real_mak,1,9.515893795199219,True,False,296.66914647638043,1.0000000419025216e-09,1.3444875638783826,1.114679013903175,1.3653016982968425e-09,296669134045.1956,220.77807585747658,94.0,143.0
